,id,prompt,A,B,C,D,E,answer,context
0,0,What is the primary role of Robin Juhkental in the band Malcolm Lincoln?,Robin Juhkental is the bassist of Malcolm Lincoln and is responsible for laying down the foundation of their music.,Robin Juhkental is the keyboardist of Malcolm Lincoln and adds atmospheric sounds to their music.,Robin Juhkental is the drummer of Malcolm Lincoln and keeps the beat for the band's songs.,Robin Juhkental is the lead singer of Malcolm Lincoln and provides vocals for the band's songs.,Robin Juhkental is the lead guitarist of Malcolm Lincoln and is responsible for creating unique guitar melodies and solos.,D,Malcolm Lincoln are an Estonian band that formed in October 2009. The members are Robin Juhkental Jakob Juhkam Siim Raidma Ott Adamson Johan Alexander Petti and Hans Kurvits. The original lineup consisted of Robin Juhkental vocalselectronics and Madis Kubu bass. Juhkental has described their style as electronic pop with a slightly quirky undertone. The bands name originates from the game show Who Wants to Be a Millionaire where a woman incorrectly answered Malcolm Lincoln to a question involving the first name of Abraham Lincoln the 16th President of the United States. Malcolm Lincoln together with a group of backing vocalists called Manpower 4 won the competition Eesti Laul 2010 with the song Siren and represented Estonia in the Eurovision Song Contest 2010. The band released their debut album Loaded With Zoul in May 2010. History Malcolm Lincoln first started out as a soloproject of Robin Juhkental when in the autumn of 2009 he uploaded his first songs to MySpace under the name Malcolm Lincoln. Later he asked Madis Kubu to join him for their first gig on 31 October 2009 in Tallinn. In December Vaiko Eplik an Estonian singersongwriter and producer
1,1,Which of the following statements is true regarding the theories of relativity?,The theory of relativity only encompasses one theory by Albert Einstein.,Special relativity explains the law of gravitation and its relation to other forces of nature.,The theory of relativity does not encompass any theories by Albert Einstein.,"Special relativity applies to the cosmological and astrophysical domain, including the motion of planets, stars, and galaxies.",General relativity only applies to the motion of elementary particles and their interactions.,D,independence of the speed of light in vacuum from the motion of the source. These two principles were reconciled with each other by a re examination of the fundamental meanings of space and time intervals. The strength of special relativity lies in its use of simple basic principles including the invariance of the laws of physics under a shift of inertial reference frames and the invariance of the speed of light in vacuum. See also Lorentz covariance. It is possible to derive the form of the Lorentz transformations from the principle of relativity alone. Using only the isotropy of space and the symmetry implied by the principle of special relativity one can show that the spacetime transformations between inertial frames are either Galilean or Lorentzian. Whether the transformation is actually Galilean or Lorentzian must be determined with physical experiments. It is not possible to conclude that the speed of light c is invariant by mathematical logic alone. In the Lorentzian case one can then obtain relativistic interval conservation and the constancy of the speed of light.Yaakov Friedman Physical Applications of Homogeneous Balls Progress in Mathematical Physics 40
2,2,"In which country was the 1920 collection of comic short stories, ""The Courts of Idleness,"" written?",United States,Germany,Australia,France,England,E,The Courts of Idleness is a 1920 collection of comic short stories by the English author Dornford Yates Cecil William Mercer his second book. Half of the tales feature his Berry characters.  Plot  The book includes two main collections of short stories Book I How Some Passed Out of The Courts for Ever which consists mainly of prewar frivolities and Book II How Others Left the Courts Only to return which relates postwar tales. Dividing the groups is a singlestory Interlude. The first story of Book I has the characters in London after which they proceed to the island of Rih a thinly disguised Madeira. The final story concludes with the sudden end of the male characters now serving in the Great War who hear a sound which some interpret as a ships siren and others as the sound of a heavy gun. A moment later all are killed in the crater of a great shell. The Interlude features a unique set of characters initially in Scotland on the opening day of the Great War and subsequently on the Western Front. The stories of Book II return to the entirely different Berry set of characters from The Brother of Daphne collection with the addition of Adle Feste an
3,3,"What is one of the areas that Shimon Dovid Cowen is known for publicly opposing, based on his research on the Noahide Laws?","Environmental conservation, opposing deforestation and promoting sustainable practices.","Homosexuality, looser abortion laws and voluntary assisted dying legislation.","Freedom of speech, advocating for increased limitations on expression.","Gun control, advocating for stricter regulations on firearms.","Animal rights, opposing the use of animals for scientific research and entertainment purposes.",B,thumbRabbi Dr Shimon Cowen.Photo P. Bovolos Shimon Dovid Cowen born 7 September 1951Profile of Shimon Dovid Cowen is an Australian rabbi and academic. He is known for his research on and advocacy for the Noahide Laws on the basis of which he has publicly opposed homosexuality looser abortion laws and voluntary assisted dying legislation. He is affiliated with Chabad Hasidism a branch of ultraOrthodox Judaism and is the son of the former Governor General of Australia Sir Zelman Cowen.  Education  Cowen was born in Melbourne Victoria concluding his secondary education in New South Wales before attending the Australian National University in Canberra. His studies took him to the University of Munich and Monash University from which he received a PhD in social philosophy in 1984. For a number of years he was a member of the Kollel Menachem Lubavitch a tertiary Rabbinic Institute where he became director of community educational programs. He received rabbinic ordination from Rabbis Chaim Gutnick and Shear Yashuv Cohen He also taught in the Australian Centre for Jewish Civilization at Monash University. Institute for Judaism and Civilization In 1998 he founded
4,4,When did the Dirt Road Diaries Tour begin and end?,"February 17, 2014 - November 26, 2014","January 17, 2014 - October 26, 2014","February 17, 2013 - November 26, 2013","March 17, 2013 - December 26, 2013","January 17, 2013 - October 26, 2013",E,The Dirt Road Diaries Tour was a headlining tour by American country music artist Luke Bryan in support of his EP Spring BreakHere to Party and his fourth studio album Crash My Party 2013. It began on January 17 2013 in Evansville Indiana and finished on October 26 2013 in West Palm Beach Florida. Background In October 2012 the tour was announced. About the tour Bryan says I can feel the momentum. It has been an interesting process and Im so glad it didnt happen three or four years ago because I wouldnt have enjoyed it. I would be freaking out I have dreamed about this day for a very long time. We are having the best time putting together all the bells and whistles for the tour. I have spent a lot of time out on tours with some reality great artists and each night we have tried to learn from them. I couldnt be more excited about this Opening acts Thompson Square Florida Georgia Line Setlist Kiss Tomorrow Goodbye Country Man Someone Else Calling You Baby Rain Is a Good Thing Crash My Party Thats My Kind of Night Muckalee Creek Water Suntan City If You Aint Here to Party One More Night Locked Out of Heaven Too
5,5,What is the purpose of the Education and Skills Act 2008 in the United Kingdom?,The Education and Skills Act 2008 allocated additional funding towards university scholarships for students in the United Kingdom.,The Education and Skills Act 2008 increased the minimum age at which a person can leave education or training in the United Kingdom.,The Education and Skills Act 2008 aimed to improve the quality of vocational training programs in the United Kingdom.,The Education and Skills Act 2008 introduced new regulations for teacher qualifications and certifications in the United Kingdom.,The Education and Skills Act 2008 established a standardized curriculum for all schools in the United Kingdom.,B,The Learning and Skills Act 2000 is an Act of the Parliament of the United Kingdom. It made changes in the funding and administration of further education and of workbased learning or apprenticeships for young people within England and Wales. The main changes were  Establishment of the Learning and Skills Council LSC to secure the provision of education and training for young people and adults in England and to encourage employers and individuals to participate and the LSCs funding powers.  Provisions for the appointment of governors in the further education sector.  Other duties and powers of the LSC including equal opportunities and the needs of people with learning difficulties powers to provide information advice and guidance services and a duty to publish its strategy and annual plans.  Establishment of local LSCs including planning and consultation arrangements and the power of the Secretary of State to make directions to local education authorities in respect of adult and community learning provision.  Creation of the LSCs Young Peoples and Adult Learning Committees.  Creation of academies originally known as city academies publicly funded
6,6,Whose name was Clay County in Kansas named after?,"Henry Clay, a famous scientist","Henry Clay, a renowned painter","Henry Clay, a famous explorer","Henry Clay, an influential U.S. Senator from Kentucky","Henry Clay, a former president of the United States",D,Clay County is located in the U.S. state of Missouri and is part of the Kansas City metropolitan area. As of the 2020 census the county had a population of 253335 making it the fifthmost populous county in Missouri. Its county seat is Liberty. The county was organized January 2 1822 and named in honor of U.S. Representative Henry Clay from Kentucky later a member of the United States Senate and United States Secretary of State. Clay County contains many of the areas northern suburbs along with a substantial portion of the city of Kansas City Missouri. It also owns and operates the Midwest National Air Center in Excelsior Springs. History Clay County was settled primarily from migrants from the Upper Southern states of Kentucky Tennessee and Virginia. They brought enslaved persons and slaveholding traditions with them and quickly started cultivating crops similar to those in Middle Tennessee and Kentucky hemp and tobacco. Clay was one of several counties settled mostly by Southerners to the north and south of the Missouri River. Given their culture and traditions this area became known as Little Dixie. In 1860 enslaved persons made up 25 or more of the countys
7,7,"Which of the following accurately describes the relationship between the film ""Masterminds"" and the Loomis Fargo robbery in North Carolina?","""Masterminds"" is a sci-fi film that depicts a fictional heist set in a futuristic version of North Carolina.","""Masterminds"" is a biographical film that accurately depicts the events of the Loomis Fargo robbery.","""Masterminds"" is a reenactment of the Loomis Fargo robbery, using the actual individuals involved in the crime.","""Masterminds"" is a documentary film that provides an in-depth analysis of the Loomis Fargo robbery.","""Masterminds"" is a fictional film that is loosely inspired by the Loomis Fargo robbery.",E,Masterminds is a 2016 American crime comedy film based on the October 1997 Loomis Fargo robbery in North Carolina. Directed by Jared Hess and written by Chris Bowman Hubbel Palmer and Emily Spivey it stars Zach Galifianakis Owen Wilson Kristen Wiig Kate McKinnon Leslie Jones and Jason Sudeikis. It premiered in Los Angeles on September 26 2016 and was theatrically released in the United States on September 30 2016 by Relativity EuropaCorp Distribution and Relativity Media. It received mixed reviews and grossed 30 million. Plot In March 1997 after Loomis Fargo  Company has been robbed of 18.8 million in Jacksonville by company security guard Philip Noel Johnson Steve Eugene Chambers and Kelly Campbell a former employee of Loomis. They involve Loomis armored car driver David Scott Ghantt. After some awkward training in preparation for the robbery the team has David go inside Loomis vault and load the entire money supply into the companys van. Before he leaves he takes out three CCTV tapes but misses one. The next day he flees to Mexico with 20000 and takes the cover name Michael McKinney the name of a friend of Steves. Meanwhile Steve takes most of the
8,8,What is the enrollment size of the Kalaidos University of Applied Sciences Switzerland based on the provided Wikipedia excerpt?,"6,000 students","2,500 students","8,000 students","1,000 students","4,400 students",E,The Kalaidos University of Applied Sciences Switzerland Kalaidos UAS is a University of Applied Sciences in Switzerland with the departments of Business and Management Law Health Music and Applied Psychology. It was founded in 1997 and today is one of nine accredited Swiss Universities of Applied Sciences being the only privately owned one. It has 4400 students 725 lecturers as of December 31 2021 and around 12000 graduates. Kalaidos UAS is a foundation which is a federally accredited University of Applied Sciences under Swiss law. History Kalaidos UAS was founded in 1997 under the names PHW Private Hochschule Wirtschaft and AKAD Hochschule fr Berufsttige as a monodisciplinary University of Applied Sciences with business degree programs. On April 6 2005 the Swiss Federal Council granted the Kalaidos University of Applied Sciences Foundation approval to establish and operate the Kalaidos University of Applied Sciences. This approval is based on the Federal Law of October 6 1995 on Universities of Applied Sciences and the Ordinance on Universities of Applied Sciences FHSV of September 11 1996 and in particular on the results of a multiyear peer review
9,9,"What is the meaning of the Latin-derived specific epithet ""vaginatus"" in the plant Schoenus vaginatus?","""Tall""","""Hairy""","""Sheath""","""Grass-like""","""Round""",C,Virgate from the Latin  rodlike is an adjective in botanical and mycological jargon. Botany In botanical jargon virgate most often refers to plants with wandshaped erect branches or stems. For smaller plants or structures the diminutive virgulate is used.Jackson Benjamin Daydon A Glossary of Botanic Terms with their Derivation and Accent Published by Gerald Duckworth  Co. London 4th ed 1928 The term occurs commonly in the biological names of plants such as Vaccinium virgatum or Chloris virgata. Mycology In mycological jargon virgate and virgulate are used to describe mushroom caps pilei with pronounced radiating stripes or ribs as in Tricholoma virgatum. References CategoryPlant morphology
